단축코드,한글종목약명,기초지수명,기초시장분류,기초자산분류,총보수,TER,실부담비용률,과세유형,표준코드,펀드코드
475720,RISE 200위클리커버드콜,코스피 200 위클리 커버드콜 ATM 지수,국내,주식,0.3000,0.3300,0.4159,배당소득세(보유기간과세),KR7475720009,K55223E88442
148020,RISE 200,코스피 200,국내,주식,0.0170,0.0400,0.0538,비과세,KR7148020001,KR5223A66905
465330,RISE 2차전지TOP10,iSelect 2차전지 TOP10 지수(PR),국내,주식,0.0700,0.1500,0.1707,비과세,KR7465330009,K55223E57140
465350,RISE 2차전지TOP10인버스(합성),iSelect 2차전지 TOP10 지수(PR),국내,주식,0.4900,0.5700,0.5749,배당소득세(보유기간과세),KR7465350007,K55223E57157
422420,RISE 2차전지액티브,iSelect 2차전지 지수 (시장가격지수),국내,주식,0.3500,0.4200,0.4690,배당소득세(보유기간과세),KR7422420000,K55223DS8611
105780,RISE 5대그룹주,MKF 5대그룹주,국내,주식,0.4000,0.4600,0.4784,비과세,KR7105780001,KR5223884903
469070,RISE AI&로봇,iSelect AI&로봇 지수(시장가격),국내,주식,0.4000,0.4700,0.5123,비과세,KR7469070007,K55223E63783
0093A0,RISE AI반도체TOP10,FnGuide AI반도체TOP10 지수,국내,주식,0.2000,0.2100,0.2233,비과세,KR70093A0000,K55223EM4862
0101N0,RISE AI전력인프라,KRX-Akros AI 전력인프라 지수,국내,주식,0.2000,0.2100,0.2140,비과세,KR70101N0005,K55223EN7310
427120,RISE AI플랫폼,FnGuide AI 플랫폼 지수,국내,주식,0.4500,0.5300,0.5367,비과세,KR7427120001,K55223DT7141
477080,RISE CD금리액티브(합성),FnGuide CD금리투자 지수(총수익),국내,기타,0.0200,0.0400,0.0405,배당소득세(보유기간과세),KR7477080006,K55223E89887
290130,RISE ESG사회책임투자,KRX ESG 사회책임경영지수(S),국내,주식,0.3000,0.3300,0.4146,비과세,KR7290130004,K55223C37088
367770,RISE 수소경제테마,FnGuide 수소 경제 테마 지수,국내,주식,0.4500,0.5100,0.5339,비과세,KR7367770005,K55223DB4890
326240,RISE IT플러스,FnGuide IT플러스 지수,국내,주식,0.4000,0.4600,0.4724,비과세,KR7326240009,K55223CR0578
385560,RISE KIS국고채30년Enhanced,KIS 국고채30년Enhanced지수(시장가격),국내,채권,0.0500,0.0700,0.0872,배당소득세(보유기간과세),KR7385560008,K55223DJ2151
479520,RISE KOFR금리액티브(합성),KOFR 지수,국내,기타,0.0200,0.0400,0.0413,배당소득세(보유기간과세),KR7479520009,K55223E98490
270800,RISE KQ고배당,FnGuide KQ고배당포커스 지수,국내,주식,0.3000,0.4200,0.4609,비과세,KR7270800006,K55223BR9539
292050,RISE KRX300,KRX 300,국내,주식,0.0500,0.1100,0.1295,비과세,KR7292050002,K55223C53515
388280,RISE K엔터&여행레저,FnGuide K엔터&여행레저 지수,국내,주식,0.4500,0.5200,0.5554,비과세,KR7388280000,K55223DJ8893
442550,RISE TDF2030액티브,iSelect 전략적자산배분 TDF 2030 지수,국내&해외,기타,0.0100,0.2200,0.2687,배당소득세(보유기간과세),KR7442550000,K55223DX5230
442560,RISE TDF2040액티브,iSelect 전략적자산배분 TDF 2040 지수,국내&해외,기타,0.0100,0.1800,0.2358,배당소득세(보유기간과세),KR7442560009,K55223DX5248
442570,RISE TDF2050액티브,iSelect 전략적자산배분 TDF 2050 지수,국내&해외,기타,0.0100,0.1100,0.1952,배당소득세(보유기간과세),KR7442570008,K55223DX5255
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),KEDI 테슬라미국30년국채15%타겟프리미엄 혼합지수(TR),해외,혼합자산,0.2500,0.3500,0.3604,배당소득세(보유기간과세),KR70013R0008,K55223EH6161
234310,RISE V&S셀렉트밸류,FnGuide 셀렉트 밸류 지수,국내,주식,0.3000,0.6600,0.6976,비과세,KR7234310001,K55223B91129
241390,RISE V&S셀렉트밸류채권혼합,FnGuide 셀렉트벨류 채권혼합지수,국내,혼합자산,0.2300,0.4200,0.4302,배당소득세(보유기간과세),KR7241390004,K55223BB7382
401170,RISE 메타버스,iSelect 메타버스 지수(시장가격지수),국내,주식,0.4500,0.5200,0.5338,비과세,KR7401170006,K55223DN5018
300640,RISE 게임테마,WISE 게임 테마 지수 (시장가격지수),국내,주식,0.3000,0.3500,0.3717,비과세,KR7300640000,K55223CB7639
266160,RISE 고배당,FnGuide 고배당포커스 지수,국내,주식,0.2000,0.2600,0.2809,비과세,KR7266160001,K55223BM7066
481430,RISE 국고채10년액티브,KAP 국고채 10년 지수(총수익),국내,채권,0.0120,0.0300,0.0359,배당소득세(보유기간과세),KR7481430007,K55223EB1440
282000,RISE 국고채3년선물인버스,국채선물지수,국내,채권,0.0700,0.1000,0.1374,배당소득세(보유기간과세),KR7282000009,K55223BY8797
114100,RISE 국고채3년,KTB INDEX(시장가격),국내,채권,0.1150,0.1400,0.1413,배당소득세(보유기간과세),KR7114100001,KR5223149026
451670,RISE 국채30년레버리지(합성),KAP 국채30년 TR 지수(총수익),국내,채권,0.1000,0.1300,0.1409,배당소득세(보유기간과세),KR7451670004,K55223E00629
295020,RISE 국채선물10년인버스,10년국채선물지수,국내,채권,0.0700,0.1000,0.1375,배당소득세(보유기간과세),KR7295020002,K55223C82720
295000,RISE 국채선물10년,10년국채선물지수,국내,채권,0.0700,0.1200,0.1419,배당소득세(보유기간과세),KR7295000004,K55223C82712
432600,RISE 국채선물3년,국채선물지수,국내,채권,0.0700,0.1200,0.1375,배당소득세(보유기간과세),KR7432600005,K55223DU5613
397420,RISE 국채선물5년추종,5년 국채선물 추종 지수,국내,채권,0.0700,0.1400,0.1569,배당소득세(보유기간과세),KR7397420001,K55223DM4517
0114X0,RISE 글로벌게임테크TOP3Plus,Solactive-KEDI 글로벌 게임 테크 TOP3 플러스 지수,해외,주식,0.4000,0.4100,0.4863,배당소득세(보유기간과세),KR70114X0008,K55223EO3532
437370,RISE 글로벌농업경제,MVIS Global Agribusiness Index(Price Return),해외,주식,0.4000,0.8200,0.8492,배당소득세(보유기간과세),KR7437370000,K55223DV1611
375270,RISE 글로벌데이터센터리츠(합성),Kelly Data Center & Tech Infrastructure Net Total Return Index,해외,부동산,0.4000,0.5700,0.5740,배당소득세(분리과세부동산ETF),KR7375270006,K55223DE1216
475380,RISE 글로벌리얼티인컴,Solactive Global Realty Income Index(Price Return),해외,부동산,0.0100,0.1100,0.1432,배당소득세(분리과세부동산ETF),KR7475380002,K55223E85695
476310,RISE 글로벌비만산업TOP2+,KEDI 글로벌 비만 산업 Top2+ 지수(Price Return),해외,주식,0.3500,0.6400,0.7581,배당소득세(보유기간과세),KR7476310008,K55223E89259
417450,RISE 글로벌수소경제,Indxx Hydrogen Economy Index (PR),해외,주식,0.4000,0.6700,0.7743,배당소득세(보유기간과세),KR7417450004,K55223DQ9652
442320,RISE 글로벌원자력,iSelect 글로벌원자력 지수(시장가격),해외,주식,0.4000,0.4900,0.7251,배당소득세(보유기간과세),KR7442320008,K55223DX4944
461490,RISE 글로벌자산배분액티브,Bloomberg Multi-Asset Weighted (KRW ETFs) 지수(시장가격),해외,혼합자산,0.0100,0.0900,0.1354,배당소득세(보유기간과세),KR7461490005,K55223E34636
459750,RISE 글로벌주식분산액티브,Bloomberg Global Equity Market Weighted Index(Price Return),해외,주식,0.2000,0.3700,0.4383,배당소득세(보유기간과세),KR7459750006,K55223E32523
399580,RISE 글로벌클린에너지,S&P Global Clean Energy Transition Index (Price Return),해외,주식,0.4000,0.9900,1.0929,배당소득세(보유기간과세),KR7399580000,K55223DK6670
276650,RISE 글로벌테크놀로지(합성 H),S&P Global 1200 Information Technology and Interactive Media & Services(PR),국내&해외,주식,0.4000,0.5400,0.5491,배당소득세(보유기간과세),KR7276650009,K55223BU6548
336160,RISE 금융채액티브,KIS 종합채권금융채 2.5Y-3Y 지수 (총수익),국내,채권,0.0700,0.0900,0.0942,배당소득세(보유기간과세),KR7336160007,K55223CW3484
326230,RISE 내수주플러스,FnGuide 내수주플러스 지수,국내,주식,0.4000,0.4700,0.4796,비과세,KR7326230000,K55223CR0586
367760,RISE 네트워크인프라,FnGuide 네트워크 인프라 지수,국내,주식,0.4500,0.5100,0.5247,비과세,KR7367760006,K55223DB4882
272560,RISE 단기국공채액티브,KIS 종합채권국공채3M~1.5Y지수,국내,채권,0.0700,0.0900,0.1004,배당소득세(보유기간과세),KR7272560004,K55223BR5941
385550,RISE 단기채권알파액티브,KIS 단기채권알파지수(AA-이상)(총수익지수),국내,채권,0.0500,0.0700,0.0725,배당소득세(보유기간과세),KR7385550009,K55223DJ2169
196230,RISE 단기통안채,KIS 통안채 5개월 지수(총수익),국내,채권,0.1300,0.1500,0.1580,배당소득세(보유기간과세),KR7196230007,KR5223AO8602
0061Z0,RISE 단기특수은행채액티브,KAP 단기 특수은행채 지수(시장가격),국내,채권,0.0100,0.0200,0.0215,배당소득세(보유기간과세),KR70061Z0009,K55223EJ5633
315960,RISE 대형고배당10TR,WISE 대형고배당10 TR 지수,국내,주식,0.0700,0.1300,0.1527,배당소득세(보유기간과세),KR7315960005,K55223CJ3036
455890,RISE 머니마켓액티브,KIS 시가평가 MMF 지수 (총수익지수),국내,채권,0.0500,0.0600,0.0616,배당소득세(보유기간과세),KR7455890004,K55223E22581
481340,RISE 미국30년국채액티브,Bloomberg U.S Treasury 20+ Year Total Return Index,해외,채권,0.0500,0.1600,0.1841,배당소득세(보유기간과세),KR7481340008,K55223EB1457
472870,RISE 미국30년국채엔화노출(합성 H),KIS 미국채30년 엔화노출 지수(USD/JPY 헤지)(총수익지수),해외,채권,0.1500,0.1800,0.1900,배당소득세(보유기간과세),KR7472870005,K55223E77825
472830,RISE 미국30년국채커버드콜(합성),Bloomberg U.S. Treasury 20+ Year (TLT) 2% OTM Covered Call Index(TR),해외,채권,0.2500,0.4100,0.4604,배당소득세(보유기간과세),KR7472830009,K55223E76066
485690,RISE 미국AI밸류체인TOP3Plus,KEDI 미국 AI 밸류체인 TOP3 Plus 지수(Price Return),해외,주식,0.0100,0.1200,0.5353,배당소득세(보유기간과세),KR7485690002,K55223EB6860
490590,RISE 미국AI밸류체인데일리고정커버드콜,KEDI 미국 AI밸류체인 90%참여+데일리옵션 프리미엄 지수(TR),해외,주식,0.2500,0.3600,0.8096,배당소득세(보유기간과세),KR7490590007,K55223ED1158
495940,RISE 미국AI테크액티브,Solactive US AI Tech Active Index PR,해외,주식,0.5000,0.6900,1.7726,배당소득세(보유기간과세),KR7495940009,K55223EF7427
0005C0,RISE 미국S&P500엔화노출(합성 H),S&P500 Yen Hedged Index(PR),해외,주식,0.1000,0.4500,0.4909,배당소득세(보유기간과세),KR70005C0005,K55223EG9927
379780,RISE 미국S&P500,S&P 500,해외,주식,0.0040,0.0800,0.1424,배당소득세(보유기간과세),KR7379780000,K55223DG4176
453330,RISE 미국S&P500(H),S&P 500,해외,주식,0.0040,0.1500,0.2474,배당소득세(보유기간과세),KR7453330003,K55223E05289
460660,RISE 미국S&P배당킹,S&P Dividend Monarchs Index(Price Return),해외,주식,0.0100,0.2600,0.3256,배당소득세(보유기간과세),KR7460660004,K55223E34644
219390,RISE 미국S&P원유생산기업(합성 H),S&P Oil & Gas Exploration & Production Select Industry Index(PR),해외,주식,0.2500,0.4000,0.4000,배당소득세(보유기간과세),KR7219390002,K55223B28170
0115C0,RISE 미국고배당다우존스TOP10,Dow Jones U.S. High Dividend 10 Index,해외,주식,0.0100,0.0300,0.1102,배당소득세(보유기간과세),KR70115C0002,K55223EP0586
354240,RISE 미국고정배당우선증권,ICE BofAML Core Plus Fixed Rate Preferred Securities Index(PR),해외,혼합자산,0.5000,0.6600,0.7319,배당소득세(보유기간과세),KR7354240004,K55223D48455
368590,RISE 미국나스닥100,NASDAQ 100,해외,주식,0.0060,0.1200,0.1638,배당소득세(보유기간과세),KR7368590006,K55223DB4908
437350,RISE 미국단기투자등급회사채액티브,Bloomberg US Corporate 1-5 Years Total Return Index,해외,채권,0.1000,0.2200,0.2219,배당소득세(보유기간과세),KR7437350002,K55223DV1603
455960,RISE 미국달러SOFR금리액티브(합성),KAP SOFR 지수,해외,기타,0.0500,0.0800,0.0800,배당소득세(보유기간과세),KR7455960005,K55223E20338
469530,RISE 미국달러선물인버스,미국달러선물지수,국내,통화,0.0500,0.1000,0.2108,배당소득세(보유기간과세),KR7469530000,K55223E65788
469060,RISE 미국반도체NYSE,NYSE Semicondoctor Index(Price Return),해외,주식,0.0100,0.1900,0.3561,배당소득세(보유기간과세),KR7469060008,K55223E65903
469050,RISE 미국반도체NYSE(H),NYSE Semicondoctor Index(Price Return),해외,주식,0.0100,0.1500,0.3114,배당소득세(보유기간과세),KR7469050009,K55223E65911
491630,RISE 미국반도체인버스(합성 H),NYSE Semicondoctor Index(Price Return),해외,주식,0.4900,0.7700,0.7736,배당소득세(보유기간과세),KR7491630000,K55223ED9425
490600,RISE 미국배당100데일리고정커버드콜,KEDI 미국 배당100 90%참여+데일리옵션 프리미엄 지수(총수익지수),해외,주식,0.2500,0.4400,0.8301,배당소득세(보유기간과세),KR7490600004,K55223ED1166
0018Z0,RISE 미국양자컴퓨팅,Solactive US Quantum Computing Technology Index PR,해외,주식,0.4000,0.5500,0.7205,배당소득세(보유기간과세),KR70018Z0003,K55223EI0494
0013P0,RISE 미국은행TOP10,KEDI 미국 은행 TOP10 지수,해외,주식,0.2000,0.3300,0.4840,배당소득세(보유기간과세),KR70013P0000,K55223EH4240
267490,RISE 미국장기국채선물레버리지(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index,해외,채권,0.5000,0.7900,0.8170,배당소득세(보유기간과세),KR7267490001,K55223BN1118
267450,RISE 미국장기국채선물인버스(H),S&P U.S. Treasury Bond Futures Excess Return Index,해외,채권,0.4000,0.8300,0.9592,배당소득세(보유기간과세),KR7267450005,K55223BN1092
267440,RISE 미국장기국채선물(H),S&P U.S. Treasury Bond Futures Excess Return Index,해외,채권,0.4000,0.6400,0.6976,배당소득세(보유기간과세),KR7267440006,K55223BN1084
0036Z0,RISE 미국천연가스밸류체인,Solactive US Natural Gas Value Chain Index PR,해외,주식,0.4000,0.6400,0.7538,배당소득세(보유기간과세),KR70036Z0001,K55223EJ0162
491620,RISE 미국테크100데일리고정커버드콜,KEDI 미국 테크100 90%참여+데일리옵션 프리미엄 지수(TR),해외,주식,0.2500,0.4000,0.8255,배당소득세(보유기간과세),KR7491620001,K55223ED9417
0036R0,RISE 미국휴머노이드로봇,KEDI 미국 휴머노이드 로봇 지수(시장가격),해외,주식,0.4000,0.5000,0.8210,배당소득세(보유기간과세),KR70036R0001,K55223EJ0170
0000Z0,RISE 바이오TOP10액티브,KRX 바이오 TOP 10 지수,국내,주식,0.5000,0.5700,0.6632,배당소득세(보유기간과세),KR70000Z0003,K55223EG4761
446700,RISE 배터리 리사이클링,iSelect 배터리 리사이클링 지수,국내,주식,0.4000,0.4800,0.5192,비과세,KR7446700007,K55223DY3945
475350,RISE 버크셔포트폴리오TOP10,Solactive Berkshire Portfolio Top10 Index(PR),해외,주식,0.0100,0.1100,0.2654,배당소득세(보유기간과세),KR7475350005,K55223E85687
388420,RISE 비메모리반도체액티브,iSelect 비메모리반도체 지수(시장가격지수),국내,주식,0.5000,0.5700,0.6441,배당소득세(보유기간과세),KR7388420002,K55223DJ8901
448630,RISE 삼성그룹Top3채권혼합,Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index,국내,혼합자산,0.2000,0.3900,0.4008,배당소득세(보유기간과세),KR7448630004,K55223DY8589
140570,RISE 수출주,MKF 수출주 지수,국내,주식,0.4000,0.5600,0.5854,비과세,KR7140570003,KR5223A20043
0093B0,RISE 엔비디아고정테크100,KEDI 엔비디아고정테크100 지수(PR),해외,주식,0.2000,0.2600,0.3420,배당소득세(보유기간과세),KR70093B0009,K55223EM3724
140580,RISE 우량업종대표주,MKF 우량업종대표주 지수,국내,주식,0.4000,0.5100,0.6244,비과세,KR7140580002,KR5223A20027
379790,RISE 유로스탁스50(H),EURO STOXX 50 Index,해외,주식,0.0210,0.6400,0.8625,배당소득세(보유기간과세),KR7379790009,K55223DG4184
498610,RISE 인도디지털성장,MarketVector Digital India Index(INR)(Price Return)			,해외,주식,0.3000,0.8100,0.9686,배당소득세(보유기간과세),KR7498610005,K55223EF1479
488480,RISE 일본섹터TOP4Plus,Solactive Japan Samurai Sector TOP4 Plus Index(PR),해외,주식,0.3000,0.7300,0.8969,배당소득세(보유기간과세),KR7488480005,K55223EC5739
385540,RISE 종합채권(A-이상)액티브,KIS 종합채권 지수(A-이상)(총수익지수),국내,채권,0.0120,0.0300,0.0441,배당소득세(보유기간과세),KR7385540000,K55223DJ2177
183710,RISE 주식혼합,주식국채혼합(주식형)지수,국내,혼합자산,0.2500,0.4100,0.4235,배당소득세(보유기간과세),KR7183710003,KR5223AL4158
310080,RISE 중국MSCI China(H),"MSCI China Index(USD, Price Return)",해외,주식,0.6000,0.7900,0.8414,배당소득세(보유기간과세),KR7310080007,K55223CG2510
463300,RISE 중국본토CSI300,CSI 300 Index,해외,주식,0.0500,0.2900,0.3835,배당소득세(보유기간과세),KR7463300004,K55223E45640
174360,RISE 중국본토대형주CSI100,CSI A100,해외,주식,0.6500,0.8400,1.0203,배당소득세(해외주식투자전용ETF),KR7174360008,KR5223AI2538
136340,RISE 중기우량회사채,KOBI 크레딧 지수(총수익),국내,채권,0.0700,0.1000,0.1042,배당소득세(보유기간과세),KR7136340007,KR5223970371
281990,RISE 중소형고배당,FnGuide 중소형고배당포커스 지수,국내,주식,0.3000,0.4100,0.4400,비과세,KR7281990002,K55223BY3509
272570,RISE 중장기국공채액티브,KIS 종합채권국공채4~5Y지수,국내,채권,0.0700,0.0900,0.0921,배당소득세(보유기간과세),KR7272570003,K55223BR5958
250730,RISE 차이나HSCEI(H),Hang Seng China H,해외,주식,0.0210,0.2200,0.3856,배당소득세(해외주식투자전용ETF),KR7250730009,K55223BF0979
291680,RISE 차이나H선물인버스(H),Hang Seng China Enterprises Futures Index(Price Return),해외,주식,0.6000,1.2900,1.6317,배당소득세(보유기간과세),KR7291680007,K55223C53507
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,Bloomberg China Tech Select TOP 10 + 12% Target Premium Weekly Index,해외,주식,0.3000,0.3700,0.5489,배당소득세(보유기간과세),KR70094L0006,K55223EL4301
371150,RISE 차이나항셍테크,Hang Seng TECH Index,해외,주식,0.1400,0.5400,0.8311,배당소득세(보유기간과세),KR7371150004,K55223DC9849
183700,RISE 채권혼합,주식국채혼합(채권형)지수,국내,혼합자산,0.2000,0.2900,0.2948,배당소득세(보유기간과세),KR7183700004,KR5223AL4166
498860,RISE 코리아금융고배당,iSelect 코리아 금융 고배당 지수,국내,주식,0.1000,0.1600,0.1736,비과세,KR7498860006,K55223EG3144
0094M0,RISE 코리아밸류업위클리고정커버드콜,코리아 밸류업 위클리 커버드콜 30% 지수,국내,주식,0.3000,0.3200,0.3349,배당소득세(보유기간과세),KR70094M0005,K55223EM9762
495050,RISE 코리아밸류업,코리아 밸류업 지수,국내,주식,0.0080,0.0300,0.0454,비과세,KR7495050007,K55223EF9191
278240,RISE 코스닥150선물레버리지,F-코스닥150 지수,국내,주식,0.6000,0.6400,0.8152,배당소득세(보유기간과세),KR7278240007,K55223BV8089
275750,RISE 코스닥150선물인버스,F-코스닥150 지수,국내,주식,0.6000,0.7300,0.8750,배당소득세(보유기간과세),KR7275750008,K55223BT0197
270810,RISE 코스닥150,코스닥 150,국내,주식,0.1800,0.2200,0.2339,비과세,KR7270810005,K55223BQ7476
302450,RISE 코스피,코스피,국내,주식,0.1400,0.1600,0.1708,비과세,KR7302450002,K55223CC1474
0047P0,RISE 테슬라고정테크100,KEDI 테슬라고정테크100 지수(PR),해외,주식,0.2000,0.2900,0.8027,배당소득세(보유기간과세),KR70047P0000,K55223EJ7027
449580,RISE 테슬라애플아마존채권혼합,iSelect 테슬라 애플 아마존 채권혼합지수(Price Return),해외,혼합자산,0.2400,0.4400,0.4740,배당소득세(보유기간과세),KR7449580000,K55223DZ2888
334700,RISE 팔라듐선물인버스(H),S&P GSCI Palladium Excess Return Index,해외,원자재,0.6000,1.3600,1.5117,배당소득세(보유기간과세),KR7334700002,K55223CV8492
334690,RISE 팔라듐선물(H),S&P GSCI Palladium Excess Return Index,해외,원자재,0.6000,1.0600,1.1943,배당소득세(보유기간과세),KR7334690005,K55223CV8484
0047R0,RISE 팔란티어고정테크100,KEDI 팔란티어고정테크100 지수(PR),해외,주식,0.2000,0.2800,0.5680,배당소득세(보유기간과세),KR70047R0008,K55223EJ7035
253280,RISE 헬스케어,FnGuide 헬스케어 지수,국내,주식,0.4000,0.1400,0.1586,비과세,KR7253280002,K55223BH3559
253290,RISE 헬스케어채권혼합,FnGuide 헬스케어 채권혼합 지수,국내,혼합자산,0.3500,0.4300,0.4359,배당소득세(보유기간과세),KR7253290001,K55223BH3617
407310,HANARO 200 TOP10,코스피 200 Top 10 지수,국내,주식,0.1500,0.2600,0.2630,비과세,KR7407310002,K55232DO9372
332930,HANARO 200TR,코스피 200 TR,국내,주식,0.0700,0.0700,0.0812,배당소득세(보유기간과세),KR7332930007,K55232CU2966
304780,HANARO 200선물레버리지,코스피 200 선물지수,국내,주식,0.4500,0.4700,0.5623,배당소득세(보유기간과세),KR7304780000,K55232CC8882
306520,HANARO 200선물인버스,코스피 200 선물지수,국내,주식,0.4500,0.5200,0.6048,배당소득세(보유기간과세),KR7306520008,K55232CD6992
293180,HANARO 200,코스피 200,국내,주식,0.0360,0.0600,0.0707,비과세,KR7293180006,K55232C57764
0091M0,HANARO 27-06 회사채(AA-이상)액티브,KIS 회사채(AA-이상)2706만기형지수(총수익),국내,채권,0.0200,0.0200,0.0203,배당소득세(보유기간과세),KR70091M0008,K55232EN3029
448490,HANARO 32-10 국고채액티브,KAP 32-10 국고채 10년 총수익지수,국내,채권,0.0500,0.0700,0.0734,배당소득세(보유기간과세),KR7448490003,K55232DY8190
454320,HANARO CAPEX설비투자iSelect,iSelect CAPEX 설비투자 지수(시장가격),국내,주식,0.4500,0.5200,0.5403,비과세,KR7454320003,K55232E17012
395290,HANARO Fn K-POP&미디어,FnGuide K-POP & 미디어 지수,국내,주식,0.4500,0.5100,0.5199,비과세,KR7395290000,K55232DL2883
395280,HANARO Fn K-게임,FnGuide K-게임 지수,국내,주식,0.4500,0.5300,0.5528,비과세,KR7395280001,K55232DL2875
368190,HANARO Fn K-뉴딜디지털플러스,FnGuide K-뉴딜 디지털 플러스 지수,국내,주식,0.4500,0.5100,0.5247,비과세,KR7368190005,K55232DB8908
402460,HANARO Fn K-메타버스MZ,FnGuide K-메타버스 MZ 지수(시장가격),국내,주식,0.4500,0.6200,0.6416,비과세,KR7402460000,K55232DN6882
395270,HANARO Fn K-반도체,FnGuide K-반도체 지수,국내,주식,0.4500,0.5100,0.5212,비과세,KR7395270002,K55232DL2867
438900,HANARO Fn K-푸드,FnGuide K-푸드 지수 (시장가격),국내,주식,0.4500,0.5200,0.5597,비과세,KR7438900003,K55232DW2039
367740,HANARO Fn5G산업,FnGuide 5G 산업 지수,국내,주식,0.4500,0.5800,0.5954,비과세,KR7367740008,K55232DB8353
407300,HANARO Fn골프테마,FnGuide 골프 테마 지수,국내,주식,0.4500,0.7200,0.7433,비과세,KR7407300003,K55232DO9380
381560,HANARO Fn전기&수소차,FnGuide 전기&수소차 지수 (시장가격),국내,주식,0.4500,0.5200,0.5390,비과세,KR7381560002,K55232DH1816
441540,HANARO Fn조선해운,FnGuide 조선해운지수,국내,주식,0.4500,0.5100,0.5233,비과세,KR7441540002,K55232DV7591
381570,HANARO Fn친환경에너지,FnGuide 친환경에너지 지수 (시장가격),국내,주식,0.4500,0.6100,0.6280,비과세,KR7381570001,K55232DH1824
479850,HANARO K-뷰티,FnGuide K-뷰티 지수,국내,주식,0.4500,0.5200,0.5317,비과세,KR7479850000,K55232E99861
453060,HANARO KOFR금리액티브(합성),KOFR 지수,국내,기타,0.0500,0.0800,0.0800,배당소득세(보유기간과세),KR7453060006,K55232E07666
304760,HANARO KRX300,KRX 300,국내,주식,0.0500,0.2300,0.2357,비과세,KR7304760002,K55232CC8866
322410,HANARO K고배당,FnGuide 고배당 알파 지수,국내,주식,0.0700,0.1600,0.1869,비과세,KR7322410002,K55232CN9895
322400,HANARO e커머스,FnGuide E커머스 지수,국내,주식,0.4500,0.5200,0.5339,비과세,KR7322400003,K55232CN9911
473640,HANARO 글로벌금채굴기업,NYSE Arca Gold Miners Index (Price Return),해외,주식,0.1500,0.6700,0.9720,배당소득세(보유기간과세),KR7473640001,K55232E64931
461340,HANARO 글로벌생성형AI액티브,Solactive United States Technology 100 Index(Price Return),해외,주식,0.6000,0.7900,1.1674,배당소득세(보유기간과세),KR7461340002,K55232E40014
